"anio_censo","provincia_descripcion","presos_totales","presos_ley23737","mujeres_total","mujeres_droga","varones_total","varones_droga","transexual_total","transexual_droga","porcen_ley23737","mujeres_porcen_droga","varones_porcen_droga","transexuales_porcen_droga","total_porcen_mujeres","total_porcen_varones","total_porcen_transexuales","droga_porcen_mujeres","droga_porcen_varones","droga_porcen_transexuales"
2018,"Entre Rios",2486,575,103,64,2381,509,2,2,0.231295253419147,0.621359223300971,0.21377572448551,1,0.0414320193081255,0.957763475462591,0.00080450522928399,0.111304347826087,0.885217391304348,0.00347826086956522
2018,"Formosa",700,131,57,21,642,110,1,0,0.187142857142857,0.368421052631579,0.171339563862928,0,0.0814285714285714,0.917142857142857,0.00142857142857143,0.16030534351145,0.83969465648855,0
2018,"Salta",3266,440,178,88,3088,352,0,0,0.134721371708512,0.49438202247191,0.113989637305699,0,0.0545009185548071,0.945499081445193,0,0.2,0.8,0
2018,"Santiago del Estero",478,33,56,32,422,1,0,0,0.0690376569037657,0.571428571428571,0.0023696682464455,0,0.117154811715481,0.882845188284519,0,0.96969696969697,0.0303030303030303,0
2019,"Buenos Aires",45392,5459,1799,735,43553,4709,40,15,0.120263482551992,0.408560311284047,0.108121139760751,0.375,0.0396325343672894,0.959486253084244,0.00088121254846669,0.134640043964096,0.862612200036637,0.00274775599926727
2019,"Chaco",1263,71,39,9,1224,62,0,0,0.056215360253365,0.230769230769231,0.0506535947712418,0,0.0308788598574822,0.969121140142518,0,0.126760563380282,0.873239436619718,0
2019,"Córdoba",9962,1292,495,230,9466,1061,1,1,0.129692832764505,0.464646464646465,0.112085358123812,1,0.0496888175065248,0.950210801043967,0.000100381449508131,0.178018575851393,0.821207430340557,0.000773993808049536
2019,"Entre Rios",2610,607,116,70,2488,534,6,3,0.232567049808429,0.603448275862069,0.214630225080386,0.5,0.0444444444444444,0.953256704980843,0.00229885057471264,0.115321252059308,0.879736408566722,0.00494233937397035
2019,"Formosa",696,139,65,34,630,105,1,0,0.199712643678161,0.523076923076923,0.166666666666667,0,0.0933908045977011,0.905172413793103,0.0014367816091954,0.244604316546763,0.755395683453237,0
2019,"Salta",3433,417,179,88,3253,328,1,1,0.121468103699388,0.491620111731844,0.100830003074085,1,0.0521409845616079,0.947567725021847,0.000291290416545296,0.211031175059952,0.786570743405276,0.00239808153477218
2019,"Santiago del Estero",427,17,32,16,395,1,0,0,0.0398126463700234,0.5,0.00253164556962025,0,0.0749414519906323,0.925058548009368,0,0.941176470588235,0.0588235294117647,0
